   Wavenu Wavelen  kap100   kap198   kap296 del/al
    1/cm    nm     1/km-am  1/km-am  1/km-am K^1/2

    3780  2644.78  2.35E+0  1.48E+1  4.65E+1   380
    3785  2641.29  4.41E+0  2.07E+1  5.55E+1   437
    3790  2637.80  5.92E+0  3.17E+1  8.47E+1   454
    3795  2634.33  9.33E+0  5.29E+1  1.37E+2   559
    3800  2630.86  1.46E+1  7.34E+1  1.63E+2   544
    3805  2627.40  2.03E+1  8.74E+1  1.78E+2   426
    3810  2623.96  3.45E+1  1.23E+2  2.22E+2   396
    3815  2620.52  4.50E+1  1.33E+2  2.10E+2   495
    3820  2617.09  6.97E+1  1.72E+2  2.57E+2   517
    3825  2613.67  1.52E+2  2.94E+2  3.88E+2   480
    3830  2610.25  2.06E+2  3.30E+2  3.99E+2   438
    3835  2606.85  2.12E+2  3.16E+2  3.78E+2   352
    3840  2603.46  3.54E+2  4.37E+2  4.72E+2   322
    3845  2600.07  3.81E+2  4.39E+2  5.04E+2   314
    3850  2596.69  4.03E+2  4.89E+2  6.02E+2   327
    3855  2593.33  4.49E+2  6.70E+2  8.41E+2   284
    3860  2589.97  9.70E+2  1.33E+3  1.49E+3   272
    3865  2586.62  2.12E+3  1.55E+3  1.22E+3   312
    3870  2583.27  8.70E+2  5.16E+2  4.25E+2   452
    3875  2579.94  3.37E+2  2.56E+2  2.48E+2   322
    3880  2576.62  4.28E+2  3.64E+2  3.33E+2   253
    3885  2573.30  9.24E+2  7.35E+2  5.67E+2   260
    3890  2569.99  1.30E+3  9.86E+2  7.33E+2   325
    3895  2566.69  1.10E+3  9.22E+2  7.23E+2   365
    3900  2563.40  5.47E+2  8.10E+2  7.85E+2   361
    3905  2560.12  2.07E+2  5.89E+2  8.79E+2   275
    3910  2556.85  1.56E+2  3.80E+2  6.40E+2   250
    3915  2553.58  1.83E+2  2.55E+2  3.54E+2   252
    3920  2550.32  1.47E+2  1.68E+2  2.26E+2   215
    3925  2547.08  8.94E+1  1.03E+2  1.28E+2   192
