# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  61               2.21051861E+01   1.08127720E+03   8.38149517E-01   1.60454414E-01   7.65073988E-04   5.15953689E-04   3.28586400E-09   4.81194992E-06   4.70444518E-05   2.73166113E-05  
  62               2.55318876E+01   1.12408001E+03   8.38150298E-01   1.60453622E-01   7.65071867E-04   5.15952254E-04   7.85560559E-09   4.81727592E-06   4.70443218E-05   2.73165358E-05  
  63               2.94219309E+01   1.16785503E+03   8.38151063E-01   1.60452821E-01   7.65069526E-04   5.15950634E-04   1.79000728E-08   4.83986383E-06   4.70441812E-05   2.73164541E-05  
  64               3.38412543E+01   1.20978551E+03   8.38151719E-01   1.60452057E-01   7.65067341E-04   5.15948850E-04   3.70305268E-08   4.92360687E-06   4.70440712E-05   2.73163902E-05  
  65               3.88797851E+01   1.25242017E+03   8.38152334E-01   1.60451136E-01   7.65063973E-04   5.15944749E-04   7.36019701E-08   5.18433498E-06   4.70440109E-05   2.73163552E-05  
  66               4.46184370E+01   1.29303554E+03   8.38152633E-01   1.60450105E-01   7.65053254E-04   5.15928095E-04   1.34908281E-07   5.85935768E-06   4.70441276E-05   2.73164227E-05  
  67               5.11270675E+01   1.33457318E+03   8.38152594E-01   1.60448716E-01   7.65005087E-04   5.15856124E-04   2.40979515E-07   7.26759568E-06   4.70445242E-05   2.73166518E-05  
  68               5.84639080E+01   1.37447464E+03   8.38152187E-01   1.60447126E-01   7.64812373E-04   5.15585585E-04   4.05031421E-07   9.52069012E-06   4.70452259E-05   2.73170551E-05  
  69               6.67125508E+01   1.41610131E+03   8.38152072E-01   1.60445118E-01   7.64199200E-04   5.14768563E-04   6.75139025E-07   1.27450682E-05   4.70461260E-05   2.73175633E-05  
  70               7.60403106E+01   1.45706856E+03   8.38153282E-01   1.60443135E-01   7.62593400E-04   5.12762211E-04   1.08092875E-06   1.66424725E-05   4.70467622E-05   2.73178865E-05  
